Epoch 1, Loss G:  1.3594,Loss D: -0.0439
Epoch 2, Loss G:  1.3018,Loss D: -0.1004
Epoch 3, Loss G:  1.2481,Loss D: -0.1544
Epoch 4, Loss G:  1.2258,Loss D: -0.3046
Epoch 5, Loss G:  1.2063,Loss D: -0.3763
Epoch 6, Loss G:  1.0801,Loss D: -0.4612
Epoch 7, Loss G:  1.0515,Loss D: -0.4596
Epoch 8, Loss G:  0.8557,Loss D: -0.4877
Epoch 9, Loss G:  0.6695,Loss D: -0.5197
Epoch 10, Loss G:  0.5272,Loss D: -0.5215
Epoch 11, Loss G:  0.1546,Loss D: -0.3123
Epoch 12, Loss G:  0.0710,Loss D: -0.2228
Epoch 13, Loss G: -0.2639,Loss D: -0.1133
Epoch 14, Loss G: -0.5478,Loss D: -0.1348
Epoch 15, Loss G: -0.7493,Loss D:  0.0804
Epoch 16, Loss G: -1.0033,Loss D: -0.0548
Epoch 17, Loss G: -1.1672,Loss D:  0.2369
Epoch 18, Loss G: -1.4487,Loss D:  0.2836
Epoch 19, Loss G: -1.5933,Loss D:  0.3016
Epoch 20, Loss G: -1.8357,Loss D:  0.4650
Epoch 21, Loss G: -2.0100,Loss D:  0.4633
Epoch 22, Loss G: -2.0994,Loss D:  0.6338
Epoch 23, Loss G: -2.0683,Loss D:  0.6998
Epoch 24, Loss G: -2.3879,Loss D:  0.6157
Epoch 25, Loss G: -2.3240,Loss D:  0.8119
Epoch 26, Loss G: -2.4017,Loss D:  0.7153
Epoch 27, Loss G: -2.2515,Loss D:  0.8223
Epoch 28, Loss G: -2.0908,Loss D:  0.7068
Epoch 29, Loss G: -2.1330,Loss D:  0.8318
Epoch 30, Loss G: -2.0852,Loss D:  0.5595
Epoch 31, Loss G: -1.8358,Loss D:  0.6190
Epoch 32, Loss G: -1.7439,Loss D:  0.4840
Epoch 33, Loss G: -1.8364,Loss D:  0.3320
Epoch 34, Loss G: -1.5967,Loss D:  0.4380
Epoch 35, Loss G: -1.5091,Loss D:  0.1746
Epoch 36, Loss G: -1.3468,Loss D:  0.2824
Epoch 37, Loss G: -1.0490,Loss D:  0.2209
Epoch 38, Loss G: -1.0282,Loss D:  0.0082
Epoch 39, Loss G: -0.8206,Loss D: -0.1286
Epoch 40, Loss G: -0.7559,Loss D: -0.0284
Epoch 41, Loss G: -0.5173,Loss D: -0.0146
Epoch 42, Loss G: -0.5847,Loss D: -0.3818
Epoch 43, Loss G: -0.4137,Loss D: -0.0289
Epoch 44, Loss G: -0.3197,Loss D: -0.0167
Epoch 45, Loss G: -0.4171,Loss D:  0.2912
Epoch 46, Loss G: -0.3608,Loss D:  0.2386
Epoch 47, Loss G: -0.4101,Loss D:  0.3217
Epoch 48, Loss G: -0.3990,Loss D:  0.4081
Epoch 49, Loss G: -0.2581,Loss D:  0.6636
Epoch 50, Loss G: -0.2389,Loss D:  0.7045
Epoch 51, Loss G: -0.0640,Loss D:  0.8103
Epoch 52, Loss G: -0.0627,Loss D:  0.6867
Epoch 53, Loss G: -0.3405,Loss D:  0.4860
Epoch 54, Loss G:  0.0064,Loss D:  0.4132
Epoch 55, Loss G:  0.1947,Loss D:  0.2658
Epoch 56, Loss G:  0.3820,Loss D:  0.2475
Epoch 57, Loss G:  0.5972,Loss D:  0.1635
Epoch 58, Loss G:  0.5559,Loss D: -0.4579
Epoch 59, Loss G:  0.7913,Loss D: -0.4169
Epoch 60, Loss G:  0.9488,Loss D: -0.1904
Epoch 61, Loss G:  0.9726,Loss D: -0.0266
Epoch 62, Loss G:  0.7389,Loss D: -0.3371
Epoch 63, Loss G:  0.7877,Loss D: -0.2647
Epoch 64, Loss G:  0.3902,Loss D: -0.0015
Epoch 65, Loss G:  0.2248,Loss D: -0.0287
Epoch 66, Loss G:  0.2757,Loss D: -0.2511
Epoch 67, Loss G:  0.0068,Loss D:  0.1415
Epoch 68, Loss G: -0.1582,Loss D:  0.2279
Epoch 69, Loss G: -0.4045,Loss D:  0.1214
Epoch 70, Loss G: -0.6175,Loss D:  0.1497
Epoch 71, Loss G: -0.5706,Loss D:  0.2318
Epoch 72, Loss G: -0.7707,Loss D:  0.4824
Epoch 73, Loss G: -0.8633,Loss D:  0.3293
Epoch 74, Loss G: -0.8098,Loss D:  0.3444
Epoch 75, Loss G: -1.0794,Loss D:  0.1518
Epoch 76, Loss G: -1.0632,Loss D: -0.0117
Epoch 77, Loss G: -0.9619,Loss D: -0.0932
Epoch 78, Loss G: -0.9017,Loss D: -0.0354
