Epoch 1, Loss G:  1.0219,Loss D:  0.0383
Epoch 2, Loss G:  1.1004,Loss D: -0.0518
Epoch 3, Loss G:  1.1107,Loss D: -0.1497
Epoch 4, Loss G:  0.9580,Loss D: -0.2602
Epoch 5, Loss G:  0.8232,Loss D: -0.3424
Epoch 6, Loss G:  0.8852,Loss D: -0.4620
Epoch 7, Loss G:  0.6791,Loss D: -0.4791
Epoch 8, Loss G:  0.6486,Loss D: -0.6490
Epoch 9, Loss G:  0.6292,Loss D: -0.6525
Epoch 10, Loss G:  0.5890,Loss D: -0.6546
Epoch 11, Loss G:  0.3443,Loss D: -0.6783
Epoch 12, Loss G: -0.0439,Loss D: -0.6835
Epoch 13, Loss G: -0.3115,Loss D: -0.4702
Epoch 14, Loss G: -0.7519,Loss D: -0.4098
Epoch 15, Loss G: -0.8680,Loss D:  0.0690
Epoch 16, Loss G: -1.1744,Loss D:  0.1520
Epoch 17, Loss G: -1.6709,Loss D:  0.2101
Epoch 18, Loss G: -1.7862,Loss D:  0.3438
Epoch 19, Loss G: -2.2294,Loss D:  0.5199
Epoch 20, Loss G: -2.3069,Loss D:  0.9617
Epoch 21, Loss G: -2.5586,Loss D:  0.6285
Epoch 22, Loss G: -2.6167,Loss D:  0.5573
Epoch 23, Loss G: -2.5601,Loss D:  0.6008
Epoch 24, Loss G: -2.6604,Loss D:  0.5158
Epoch 25, Loss G: -2.4796,Loss D:  0.3711
Epoch 26, Loss G: -2.1501,Loss D:  0.5871
Epoch 27, Loss G: -1.9679,Loss D:  0.2313
Epoch 28, Loss G: -1.6584,Loss D:  0.1562
Epoch 29, Loss G: -1.4142,Loss D: -0.1751
Epoch 30, Loss G: -1.3144,Loss D: -0.3098
Epoch 31, Loss G: -1.2615,Loss D: -0.1875
Epoch 32, Loss G: -1.1741,Loss D: -0.4220
Epoch 33, Loss G: -1.2038,Loss D: -0.2925
Epoch 34, Loss G: -1.2782,Loss D:  0.0102
Epoch 35, Loss G: -1.3588,Loss D:  0.0381
Epoch 36, Loss G: -1.5476,Loss D:  0.2666
Epoch 37, Loss G: -1.4482,Loss D:  0.9783
Epoch 38, Loss G: -1.3778,Loss D:  0.7586
Epoch 39, Loss G: -1.8053,Loss D:  0.9532
Epoch 40, Loss G: -1.6892,Loss D:  0.9629
Epoch 41, Loss G: -1.4564,Loss D:  0.8628
Epoch 42, Loss G: -1.3601,Loss D:  1.0076
Epoch 43, Loss G: -1.1867,Loss D:  0.7778
Epoch 44, Loss G: -0.8749,Loss D:  0.5541
Epoch 45, Loss G: -0.7972,Loss D:  0.2661
Epoch 46, Loss G: -0.4459,Loss D:  0.2565
Epoch 47, Loss G: -0.2611,Loss D:  0.0112
Epoch 48, Loss G:  0.2038,Loss D:  0.0334
Epoch 49, Loss G:  0.3300,Loss D: -0.2552
Epoch 50, Loss G:  0.6127,Loss D: -0.4844
Epoch 51, Loss G:  0.5546,Loss D: -0.5325
Epoch 52, Loss G:  0.5915,Loss D: -0.6408
Epoch 53, Loss G:  0.7387,Loss D: -0.3857
Epoch 54, Loss G:  0.4643,Loss D: -0.4254
Epoch 55, Loss G:  0.3623,Loss D: -0.1589
Epoch 56, Loss G:  0.0243,Loss D:  0.1134
Epoch 57, Loss G: -0.2272,Loss D:  0.3748
Epoch 58, Loss G: -0.2662,Loss D:  0.6149
Epoch 59, Loss G: -0.6004,Loss D:  0.5486
Epoch 60, Loss G: -0.7636,Loss D:  0.8067
Epoch 61, Loss G: -0.6294,Loss D:  0.6891
Epoch 62, Loss G: -0.7956,Loss D:  0.9444
Epoch 63, Loss G: -1.0586,Loss D:  0.6104
Epoch 64, Loss G: -1.1173,Loss D:  0.5030
Epoch 65, Loss G: -0.9180,Loss D:  0.5819
Epoch 66, Loss G: -0.7689,Loss D:  0.5675
Epoch 67, Loss G: -0.7175,Loss D:  0.1173
Epoch 68, Loss G: -0.6716,Loss D:  0.0061
Epoch 69, Loss G: -0.5171,Loss D: -0.1417
Epoch 70, Loss G: -0.3409,Loss D: -0.3455
Epoch 71, Loss G: -0.1470,Loss D: -0.4850
Epoch 72, Loss G: -0.0542,Loss D: -0.5838
Epoch 73, Loss G: -0.0322,Loss D: -0.6232
Epoch 74, Loss G: -0.0492,Loss D: -0.7607
Epoch 75, Loss G: -0.0724,Loss D: -0.5717
Epoch 76, Loss G: -0.2224,Loss D: -0.4186
Epoch 77, Loss G: -0.5144,Loss D: -0.5185
Epoch 78, Loss G: -0.8181,Loss D: -0.2349
Epoch 79, Loss G: -1.0260,Loss D:  0.1718
Epoch 80, Loss G: -1.2407,Loss D:  0.3553
Epoch 81, Loss G: -1.5070,Loss D:  0.5659
Epoch 82, Loss G: -2.0423,Loss D:  0.6126
Epoch 83, Loss G: -2.0920,Loss D:  0.7232
Epoch 84, Loss G: -2.4389,Loss D:  1.0456
Epoch 85, Loss G: -2.5418,Loss D:  1.0856
Epoch 86, Loss G: -2.5011,Loss D:  0.8377
Epoch 87, Loss G: -2.2591,Loss D:  0.9183
Epoch 88, Loss G: -2.5070,Loss D:  0.6377
Epoch 89, Loss G: -2.3361,Loss D:  0.4532
Epoch 90, Loss G: -1.9712,Loss D:  0.1273
Epoch 91, Loss G: -1.8465,Loss D:  0.0148
Epoch 92, Loss G: -1.3090,Loss D: -0.2349
Epoch 93, Loss G: -0.8490,Loss D: -1.0345
Epoch 94, Loss G: -0.3049,Loss D: -1.5727
Epoch 95, Loss G:  0.1824,Loss D: -1.8736
Epoch 96, Loss G:  0.6979,Loss D: -1.8676
Epoch 97, Loss G:  0.8925,Loss D: -2.2786
Epoch 98, Loss G:  0.9852,Loss D: -2.3285
Epoch 99, Loss G:  0.9411,Loss D: -2.1363
Epoch 100, Loss G:  0.7169,Loss D: -1.5942
Epoch 101, Loss G:  0.1162,Loss D: -1.1388
Epoch 102, Loss G: -0.4946,Loss D: -0.4969
Epoch 103, Loss G: -0.8780,Loss D:  0.0504
Epoch 104, Loss G: -1.4426,Loss D:  0.7629
Epoch 105, Loss G: -2.0580,Loss D:  1.1678
Epoch 106, Loss G: -2.2164,Loss D:  1.3959
Epoch 107, Loss G: -2.5433,Loss D:  1.3440
Epoch 108, Loss G: -2.5506,Loss D:  1.2640
Epoch 109, Loss G: -2.1721,Loss D:  0.9134
Epoch 110, Loss G: -2.1643,Loss D:  0.6302
Epoch 111, Loss G: -1.9565,Loss D:  0.3745
Epoch 112, Loss G: -1.4220,Loss D: -0.2675
Epoch 113, Loss G: -1.1328,Loss D: -0.5158
Epoch 114, Loss G: -0.8979,Loss D: -0.8307
Epoch 115, Loss G: -0.4682,Loss D: -1.3018
Epoch 116, Loss G: -0.2506,Loss D: -1.2912
Epoch 117, Loss G: -0.0782,Loss D: -1.4988
