Epoch 1, Loss G:  1.1684,Loss D: -0.0174
Epoch 2, Loss G:  1.1524,Loss D: -0.0960
Epoch 3, Loss G:  1.1755,Loss D: -0.1596
Epoch 4, Loss G:  1.1814,Loss D: -0.2600
Epoch 5, Loss G:  1.2154,Loss D: -0.3493
Epoch 6, Loss G:  1.1902,Loss D: -0.3960
Epoch 7, Loss G:  1.3377,Loss D: -0.5568
Epoch 8, Loss G:  1.2621,Loss D: -0.7550
Epoch 9, Loss G:  1.3604,Loss D: -0.7901
Epoch 10, Loss G:  1.3568,Loss D: -0.9891
Epoch 11, Loss G:  1.2686,Loss D: -1.1061
Epoch 12, Loss G:  1.3263,Loss D: -1.0761
Epoch 13, Loss G:  1.2234,Loss D: -1.2655
Epoch 14, Loss G:  1.2796,Loss D: -1.4392
Epoch 15, Loss G:  1.1361,Loss D: -1.5744
Epoch 16, Loss G:  1.0853,Loss D: -1.6250
Epoch 17, Loss G:  1.1522,Loss D: -1.7580
Epoch 18, Loss G:  1.1068,Loss D: -1.8732
Epoch 19, Loss G:  0.9623,Loss D: -2.0392
Epoch 20, Loss G:  1.0871,Loss D: -1.8734
Epoch 21, Loss G:  0.9714,Loss D: -1.9619
Epoch 22, Loss G:  0.9856,Loss D: -2.1741
Epoch 23, Loss G:  1.0060,Loss D: -2.0089
Epoch 24, Loss G:  0.9223,Loss D: -2.1899
Epoch 25, Loss G:  1.0168,Loss D: -2.1218
Epoch 26, Loss G:  0.9095,Loss D: -2.3585
Epoch 27, Loss G:  0.7716,Loss D: -2.1677
Epoch 28, Loss G:  1.0612,Loss D: -2.4148
Epoch 29, Loss G:  0.8012,Loss D: -2.4694
Epoch 30, Loss G:  0.8375,Loss D: -2.4268
Epoch 31, Loss G:  0.8293,Loss D: -2.3910
Epoch 32, Loss G:  0.8705,Loss D: -2.5614
Epoch 33, Loss G:  0.9489,Loss D: -2.0767
Epoch 34, Loss G:  0.6840,Loss D: -2.5021
Epoch 35, Loss G:  0.6425,Loss D: -2.6255
Epoch 36, Loss G:  0.6942,Loss D: -2.5233
Epoch 37, Loss G:  0.6557,Loss D: -2.6960
Epoch 38, Loss G:  0.5116,Loss D: -2.5090
Epoch 39, Loss G:  0.5159,Loss D: -2.3416
Epoch 40, Loss G:  0.7163,Loss D: -2.0462
Epoch 41, Loss G:  0.4661,Loss D: -2.0517
Epoch 42, Loss G:  0.4152,Loss D: -1.9130
Epoch 43, Loss G:  0.1281,Loss D: -1.8596
Epoch 44, Loss G:  0.3467,Loss D: -1.5207
Epoch 45, Loss G: -0.0342,Loss D: -1.5089
Epoch 46, Loss G: -0.0672,Loss D: -1.2763
Epoch 47, Loss G:  0.0742,Loss D: -1.5910
Epoch 48, Loss G:  0.0861,Loss D: -1.2580
Epoch 49, Loss G: -0.0958,Loss D: -0.7871
Epoch 50, Loss G:  0.0289,Loss D: -1.3197
Epoch 51, Loss G: -0.3610,Loss D: -0.9498
Epoch 52, Loss G: -0.1413,Loss D: -0.9320
Epoch 53, Loss G: -0.0758,Loss D: -0.9509
Epoch 54, Loss G: -0.2873,Loss D: -1.0582
Epoch 55, Loss G: -0.1187,Loss D: -0.7967
Epoch 56, Loss G: -0.2655,Loss D: -1.0899
Epoch 57, Loss G: -0.2636,Loss D: -0.5726
Epoch 58, Loss G: -0.4563,Loss D: -0.7434
Epoch 59, Loss G: -0.4254,Loss D: -0.3902
Epoch 60, Loss G: -0.3945,Loss D: -0.5155
Epoch 61, Loss G: -0.7766,Loss D: -0.7314
Epoch 62, Loss G: -0.3516,Loss D: -0.3747
Epoch 63, Loss G: -0.6682,Loss D: -0.4570
Epoch 64, Loss G: -0.5595,Loss D: -0.5896
Epoch 65, Loss G: -0.4106,Loss D: -0.6515
Epoch 66, Loss G: -0.3072,Loss D: -0.6618
Epoch 67, Loss G: -0.7875,Loss D: -0.4033
Epoch 68, Loss G: -0.5619,Loss D: -0.4945
Epoch 69, Loss G: -0.3094,Loss D: -0.5772
Epoch 70, Loss G: -0.3583,Loss D: -0.6389
Epoch 71, Loss G: -0.3185,Loss D: -0.6632
Epoch 72, Loss G: -0.5002,Loss D: -0.6521
Epoch 73, Loss G: -0.1467,Loss D: -0.3784
Epoch 74, Loss G: -0.1842,Loss D: -0.4736
Epoch 75, Loss G: -0.4367,Loss D: -0.6294
Epoch 76, Loss G: -0.0952,Loss D: -0.1511
Epoch 77, Loss G: -0.4937,Loss D: -0.5980
Epoch 78, Loss G: -0.3891,Loss D: -0.2427
Epoch 79, Loss G: -0.4150,Loss D: -0.2285
Epoch 80, Loss G: -0.2213,Loss D: -0.5925
Epoch 81, Loss G: -0.5197,Loss D: -0.5628
Epoch 82, Loss G: -0.6154,Loss D: -0.5408
Epoch 83, Loss G: -0.5898,Loss D: -0.3780
Epoch 84, Loss G: -0.5407,Loss D: -0.6568
Epoch 85, Loss G: -0.2562,Loss D: -0.4019
Epoch 86, Loss G: -0.3567,Loss D: -0.2416
Epoch 87, Loss G: -0.7697,Loss D: -0.2280
Epoch 88, Loss G: -0.6323,Loss D: -0.1296
Epoch 89, Loss G: -0.7169,Loss D: -0.3369
Epoch 90, Loss G: -0.6973,Loss D: -0.0937
Epoch 91, Loss G: -0.8295,Loss D:  0.2009
Epoch 92, Loss G: -0.7422,Loss D: -0.1237
Epoch 93, Loss G: -0.6995,Loss D: -0.3938
Epoch 94, Loss G: -0.6774,Loss D: -0.0217
Epoch 95, Loss G: -0.9232,Loss D: -0.2942
Epoch 96, Loss G: -0.9027,Loss D: -0.1414
Epoch 97, Loss G: -0.6000,Loss D:  0.0581
Epoch 98, Loss G: -0.4900,Loss D:  0.1031
Epoch 99, Loss G: -0.5340,Loss D:  0.2686
Epoch 100, Loss G: -0.2128,Loss D:  0.0882
