Epoch 1, Loss G:  1.3784,Loss D:  0.0065
Epoch 2, Loss G:  1.4878,Loss D: -0.0274
Epoch 3, Loss G:  1.4739,Loss D: -0.0734
Epoch 4, Loss G:  1.4896,Loss D: -0.1307
Epoch 5, Loss G:  1.4842,Loss D: -0.2189
Epoch 6, Loss G:  1.4487,Loss D: -0.2907
Epoch 7, Loss G:  1.4867,Loss D: -0.3400
Epoch 8, Loss G:  1.4913,Loss D: -0.4223
Epoch 9, Loss G:  1.3670,Loss D: -0.4202
Epoch 10, Loss G:  1.4365,Loss D: -0.6015
Epoch 11, Loss G:  1.4111,Loss D: -0.6425
Epoch 12, Loss G:  1.3445,Loss D: -0.5684
Epoch 13, Loss G:  1.2497,Loss D: -0.6522
Epoch 14, Loss G:  1.3304,Loss D: -0.6295
Epoch 15, Loss G:  1.2781,Loss D: -0.5936
Epoch 16, Loss G:  1.3215,Loss D: -0.7159
Epoch 17, Loss G:  1.1095,Loss D: -0.6729
Epoch 18, Loss G:  1.1140,Loss D: -0.5183
Epoch 19, Loss G:  0.9971,Loss D: -0.6552
Epoch 20, Loss G:  0.9333,Loss D: -0.5526
Epoch 21, Loss G:  0.8642,Loss D: -0.3692
Epoch 22, Loss G:  0.7432,Loss D: -0.4198
Epoch 23, Loss G:  0.7728,Loss D: -0.3094
Epoch 24, Loss G:  0.5446,Loss D: -0.2516
Epoch 25, Loss G:  0.6256,Loss D: -0.0382
Epoch 26, Loss G:  0.2700,Loss D: -0.1566
Epoch 27, Loss G:  0.2745,Loss D: -0.1183
Epoch 28, Loss G:  0.2130,Loss D:  0.1391
Epoch 29, Loss G: -0.0116,Loss D:  0.1153
Epoch 30, Loss G: -0.1707,Loss D:  0.2375
Epoch 31, Loss G: -0.2956,Loss D:  0.1164
Epoch 32, Loss G: -0.3378,Loss D:  0.2298
Epoch 33, Loss G: -0.2757,Loss D:  0.1120
Epoch 34, Loss G: -0.3751,Loss D:  0.1985
Epoch 35, Loss G: -0.3903,Loss D:  0.4379
Epoch 36, Loss G: -0.7040,Loss D:  0.2820
Epoch 37, Loss G: -0.5223,Loss D:  0.2851
Epoch 38, Loss G: -0.8270,Loss D:  0.0379
Epoch 39, Loss G: -0.7095,Loss D:  0.5965
Epoch 40, Loss G: -0.5455,Loss D:  0.3060
Epoch 41, Loss G: -0.9165,Loss D:  0.4250
Epoch 42, Loss G: -0.5741,Loss D:  0.6109
Epoch 43, Loss G: -0.9476,Loss D:  0.1285
Epoch 44, Loss G: -0.8511,Loss D:  0.4385
Epoch 45, Loss G: -0.8575,Loss D:  0.3804
Epoch 46, Loss G: -0.9448,Loss D:  0.5834
Epoch 47, Loss G: -0.9386,Loss D:  0.2340
Epoch 48, Loss G: -0.8294,Loss D:  0.3923
Epoch 49, Loss G: -0.7898,Loss D:  0.4714
Epoch 50, Loss G: -0.8318,Loss D:  0.6104
Epoch 51, Loss G: -0.7426,Loss D:  0.5491
Epoch 52, Loss G: -0.6388,Loss D:  0.3362
Epoch 53, Loss G: -0.5239,Loss D:  0.2400
Epoch 54, Loss G: -0.6719,Loss D:  0.2739
Epoch 55, Loss G: -0.4534,Loss D:  0.3061
Epoch 56, Loss G: -0.6608,Loss D:  0.4273
Epoch 57, Loss G: -0.5742,Loss D:  0.4388
Epoch 58, Loss G: -0.3032,Loss D:  0.2678
Epoch 59, Loss G: -0.5047,Loss D:  0.1052
Epoch 60, Loss G: -0.1084,Loss D:  0.1442
Epoch 61, Loss G: -0.1748,Loss D:  0.2895
Epoch 62, Loss G: -0.0641,Loss D:  0.3689
Epoch 63, Loss G: -0.0891,Loss D:  0.0509
Epoch 64, Loss G: -0.0342,Loss D:  0.2300
Epoch 65, Loss G: -0.0333,Loss D:  0.0996
Epoch 66, Loss G:  0.0026,Loss D:  0.2756
Epoch 67, Loss G: -0.0384,Loss D:  0.1576
Epoch 68, Loss G: -0.0206,Loss D:  0.2599
Epoch 69, Loss G: -0.1570,Loss D:  0.2928
Epoch 70, Loss G:  0.0569,Loss D:  0.5047
Epoch 71, Loss G: -0.1742,Loss D:  0.1820
Epoch 72, Loss G:  0.0908,Loss D:  0.6600
Epoch 73, Loss G:  0.1591,Loss D:  0.2537
Epoch 74, Loss G:  0.1807,Loss D:  0.5346
Epoch 75, Loss G:  0.3525,Loss D:  0.7070
Epoch 76, Loss G:  0.4440,Loss D:  0.3143
Epoch 77, Loss G:  0.5236,Loss D:  0.6530
Epoch 78, Loss G:  0.4739,Loss D:  0.3288
Epoch 79, Loss G:  0.5002,Loss D:  0.3632
Epoch 80, Loss G:  0.5309,Loss D:  0.2631
Epoch 81, Loss G:  0.4655,Loss D:  0.2527
Epoch 82, Loss G:  0.5615,Loss D:  0.2743
Epoch 83, Loss G:  0.6712,Loss D:  0.2025
Epoch 84, Loss G:  0.5781,Loss D:  0.1958
Epoch 85, Loss G:  0.6820,Loss D:  0.2797
Epoch 86, Loss G:  0.6690,Loss D:  0.0120
Epoch 87, Loss G:  0.5958,Loss D:  0.1373
Epoch 88, Loss G:  0.6306,Loss D:  0.1179
Epoch 89, Loss G:  0.7429,Loss D: -0.0049
Epoch 90, Loss G:  0.8865,Loss D:  0.0498
Epoch 91, Loss G:  0.7171,Loss D:  0.0050
Epoch 92, Loss G:  0.8845,Loss D:  0.2066
Epoch 93, Loss G:  0.6340,Loss D:  0.4770
Epoch 94, Loss G:  0.5676,Loss D:  0.0860
Epoch 95, Loss G:  0.6342,Loss D:  0.0558
Epoch 96, Loss G:  0.5732,Loss D:  0.0763
Epoch 97, Loss G:  0.3039,Loss D:  0.1239
Epoch 98, Loss G:  0.4525,Loss D: -0.0032
Epoch 99, Loss G:  0.4315,Loss D:  0.2403
Epoch 100, Loss G:  0.5713,Loss D:  0.1853
Epoch 101, Loss G:  0.5236,Loss D:  0.0927
Epoch 102, Loss G:  0.4350,Loss D:  0.0847
Epoch 103, Loss G:  0.5625,Loss D:  0.1650
Epoch 104, Loss G:  0.5611,Loss D:  0.2493
Epoch 105, Loss G:  0.5307,Loss D: -0.2311
Epoch 106, Loss G:  0.8059,Loss D:  0.0076
Epoch 107, Loss G:  0.8024,Loss D: -0.0415
Epoch 108, Loss G:  0.8547,Loss D: -0.1715
Epoch 109, Loss G:  0.8740,Loss D: -0.2801
