Epoch 1, Loss G:  0.9569,Loss D:  0.0473
Epoch 2, Loss G:  0.9942,Loss D: -0.0379
Epoch 3, Loss G:  1.0495,Loss D: -0.1203
Epoch 4, Loss G:  1.0806,Loss D: -0.1827
Epoch 5, Loss G:  1.1397,Loss D: -0.3064
Epoch 6, Loss G:  1.1701,Loss D: -0.4233
Epoch 7, Loss G:  1.1759,Loss D: -0.5205
Epoch 8, Loss G:  1.1740,Loss D: -0.6552
Epoch 9, Loss G:  1.2759,Loss D: -0.8174
Epoch 10, Loss G:  1.3858,Loss D: -0.9170
Epoch 11, Loss G:  1.3758,Loss D: -1.1389
Epoch 12, Loss G:  1.5183,Loss D: -1.4053
Epoch 13, Loss G:  1.4006,Loss D: -1.5372
Epoch 14, Loss G:  1.3801,Loss D: -1.6440
Epoch 15, Loss G:  1.5164,Loss D: -1.8311
Epoch 16, Loss G:  1.3637,Loss D: -1.9686
Epoch 17, Loss G:  1.5392,Loss D: -1.9861
Epoch 18, Loss G:  1.4523,Loss D: -2.1456
Epoch 19, Loss G:  1.2591,Loss D: -2.1721
Epoch 20, Loss G:  1.4265,Loss D: -2.7973
Epoch 21, Loss G:  1.4801,Loss D: -2.4201
Epoch 22, Loss G:  1.4032,Loss D: -2.7324
Epoch 23, Loss G:  1.1320,Loss D: -2.6704
Epoch 24, Loss G:  0.8353,Loss D: -2.9020
Epoch 25, Loss G:  1.1947,Loss D: -2.9027
Epoch 26, Loss G:  0.8786,Loss D: -3.1265
Epoch 27, Loss G:  0.7912,Loss D: -2.9033
Epoch 28, Loss G:  1.0354,Loss D: -2.9605
Epoch 29, Loss G:  0.5397,Loss D: -2.7243
Epoch 30, Loss G:  0.6140,Loss D: -2.7251
Epoch 31, Loss G:  0.5391,Loss D: -2.6943
Epoch 32, Loss G:  0.5860,Loss D: -2.7449
Epoch 33, Loss G:  0.4325,Loss D: -2.9367
Epoch 34, Loss G:  0.1213,Loss D: -2.4323
Epoch 35, Loss G:  0.2950,Loss D: -2.3403
Epoch 36, Loss G:  0.0696,Loss D: -2.6433
Epoch 37, Loss G: -0.0795,Loss D: -2.4319
Epoch 38, Loss G:  0.0182,Loss D: -2.2760
Epoch 39, Loss G:  0.0225,Loss D: -2.4226
Epoch 40, Loss G: -0.0108,Loss D: -2.3590
Epoch 41, Loss G: -0.4386,Loss D: -2.2744
Epoch 42, Loss G:  0.0560,Loss D: -2.2089
Epoch 43, Loss G: -0.5095,Loss D: -1.8329
Epoch 44, Loss G: -0.5267,Loss D: -2.0054
Epoch 45, Loss G: -0.6658,Loss D: -1.9026
Epoch 46, Loss G: -0.3535,Loss D: -1.6901
Epoch 47, Loss G: -0.4941,Loss D: -1.3011
Epoch 48, Loss G: -0.8045,Loss D: -1.4511
Epoch 49, Loss G: -0.6996,Loss D: -1.5754
Epoch 50, Loss G: -0.7394,Loss D: -1.6463
Epoch 51, Loss G: -1.1259,Loss D: -1.3375
Epoch 52, Loss G: -1.5102,Loss D: -1.2621
Epoch 53, Loss G: -1.0162,Loss D: -1.1194
Epoch 54, Loss G: -1.6945,Loss D: -0.9237
Epoch 55, Loss G: -1.3180,Loss D: -0.9360
Epoch 56, Loss G: -1.1806,Loss D: -1.0519
Epoch 57, Loss G: -1.8015,Loss D: -0.9582
Epoch 58, Loss G: -1.5038,Loss D: -0.4046
Epoch 59, Loss G: -1.6576,Loss D: -0.4462
Epoch 60, Loss G: -1.4653,Loss D: -0.9291
Epoch 61, Loss G: -1.7611,Loss D: -0.5504
Epoch 62, Loss G: -1.5113,Loss D: -0.8462
Epoch 63, Loss G: -1.4830,Loss D: -0.3301
Epoch 64, Loss G: -1.5296,Loss D: -0.5826
Epoch 65, Loss G: -1.2071,Loss D: -0.2114
Epoch 66, Loss G: -1.2809,Loss D: -0.9354
Epoch 67, Loss G: -1.1549,Loss D: -0.8208
Epoch 68, Loss G: -1.2946,Loss D: -0.1953
Epoch 69, Loss G: -1.6991,Loss D: -0.2323
Epoch 70, Loss G: -1.6295,Loss D: -0.4575
Epoch 71, Loss G: -1.6633,Loss D: -0.1463
Epoch 72, Loss G: -1.6128,Loss D: -0.5091
Epoch 73, Loss G: -1.3196,Loss D: -0.2408
Epoch 74, Loss G: -1.5249,Loss D:  0.0980
Epoch 75, Loss G: -1.2592,Loss D: -0.1869
Epoch 76, Loss G: -1.8615,Loss D:  0.1272
Epoch 77, Loss G: -1.4519,Loss D: -0.0595
Epoch 78, Loss G: -1.4735,Loss D:  0.1442
Epoch 79, Loss G: -1.5779,Loss D:  0.0712
Epoch 80, Loss G: -1.6215,Loss D:  0.0250
Epoch 81, Loss G: -1.2597,Loss D:  0.4482
Epoch 82, Loss G: -1.2327,Loss D:  0.0217
Epoch 83, Loss G: -1.1263,Loss D: -0.1700
Epoch 84, Loss G: -1.4122,Loss D: -0.1734
Epoch 85, Loss G: -1.1350,Loss D: -0.0321
Epoch 86, Loss G: -1.0439,Loss D: -0.3079
Epoch 87, Loss G: -1.3658,Loss D: -0.0866
Epoch 88, Loss G: -1.5504,Loss D:  0.0142
Epoch 89, Loss G: -1.2371,Loss D:  0.2443
Epoch 90, Loss G: -1.3150,Loss D: -0.0270
Epoch 91, Loss G: -1.1412,Loss D:  0.2436
Epoch 92, Loss G: -0.9275,Loss D: -0.2003
Epoch 93, Loss G: -0.7333,Loss D: -0.6922
Epoch 94, Loss G: -0.7713,Loss D:  0.2219
Epoch 95, Loss G: -1.0366,Loss D: -0.1262
Epoch 96, Loss G: -0.7779,Loss D: -0.2041
Epoch 97, Loss G: -0.8870,Loss D: -0.2773
Epoch 98, Loss G: -0.9737,Loss D:  0.0440
Epoch 99, Loss G: -0.7764,Loss D:  0.0881
Epoch 100, Loss G: -0.6661,Loss D:  0.4687
Epoch 101, Loss G: -0.8863,Loss D: -0.0285
Epoch 102, Loss G: -1.0002,Loss D: -0.0616
Epoch 103, Loss G: -0.7875,Loss D:  0.1144
Epoch 104, Loss G: -0.7782,Loss D: -0.2777
Epoch 105, Loss G: -1.0098,Loss D:  0.0504
Epoch 106, Loss G: -0.6057,Loss D:  0.0500
Epoch 107, Loss G: -0.8227,Loss D:  0.2878
Epoch 108, Loss G: -0.6210,Loss D:  0.1278
Epoch 109, Loss G: -0.9977,Loss D:  0.0535
Epoch 110, Loss G: -0.6398,Loss D: -0.1503
Epoch 111, Loss G: -0.9303,Loss D: -0.0359
Epoch 112, Loss G: -0.6888,Loss D: -0.1843
Epoch 113, Loss G: -0.8271,Loss D: -0.0754
Epoch 114, Loss G: -0.6699,Loss D:  0.2440
Epoch 115, Loss G: -0.5224,Loss D: -0.2328
Epoch 116, Loss G: -0.6704,Loss D:  0.6126
Epoch 117, Loss G: -0.4935,Loss D: -0.1072
Epoch 118, Loss G: -0.3466,Loss D: -0.0295
Epoch 119, Loss G: -0.2724,Loss D:  0.2494
Epoch 120, Loss G: -0.4492,Loss D:  0.1194
Epoch 121, Loss G: -0.4060,Loss D: -0.0952
Epoch 122, Loss G: -0.3528,Loss D:  0.0879
Epoch 123, Loss G: -0.5298,Loss D: -0.0379
Epoch 124, Loss G: -0.3636,Loss D: -0.0255
Epoch 125, Loss G: -0.0851,Loss D:  0.2135
Epoch 126, Loss G: -0.3756,Loss D:  0.1827
Epoch 127, Loss G: -0.3732,Loss D:  0.2812
Epoch 128, Loss G: -0.4017,Loss D:  0.0160
Epoch 129, Loss G: -0.4479,Loss D:  0.1788
Epoch 130, Loss G: -0.4484,Loss D:  0.1851
Epoch 131, Loss G: -0.2957,Loss D:  0.3683
Epoch 132, Loss G: -0.4033,Loss D: -0.0121
Epoch 133, Loss G: -0.7617,Loss D: -0.1974
Epoch 134, Loss G: -0.5479,Loss D:  0.2967
Epoch 135, Loss G: -0.6428,Loss D:  0.3717
Epoch 136, Loss G: -0.3279,Loss D:  0.3221
Epoch 137, Loss G: -0.2940,Loss D: -0.0192
Epoch 138, Loss G: -0.6697,Loss D: -0.1243
Epoch 139, Loss G: -0.0870,Loss D:  0.4557
Epoch 140, Loss G: -0.3788,Loss D:  0.2042
Epoch 141, Loss G:  0.0932,Loss D: -0.1106
Epoch 142, Loss G:  0.0800,Loss D: -0.1468
Epoch 143, Loss G:  0.5247,Loss D:  0.3430
Epoch 144, Loss G: -0.0796,Loss D: -0.0764
Epoch 145, Loss G:  0.2234,Loss D:  0.0796
Epoch 146, Loss G:  0.1309,Loss D: -0.0921
Epoch 147, Loss G:  0.2105,Loss D:  0.0254
Epoch 148, Loss G: -0.0164,Loss D: -0.5165
Epoch 149, Loss G: -0.1173,Loss D:  0.0858
Epoch 150, Loss G:  0.6646,Loss D: -0.2273
Epoch 151, Loss G:  0.3469,Loss D: -0.4404
Epoch 152, Loss G:  0.3624,Loss D:  0.2986
Epoch 153, Loss G:  0.0579,Loss D: -0.2840
Epoch 154, Loss G: -0.1280,Loss D: -0.2225
Epoch 155, Loss G:  0.3101,Loss D:  0.0357
Epoch 156, Loss G:  0.5468,Loss D: -0.1688
Epoch 157, Loss G:  0.1339,Loss D: -0.2075
Epoch 158, Loss G: -0.0113,Loss D:  0.1550
Epoch 159, Loss G: -0.0153,Loss D:  0.1173
Epoch 160, Loss G: -0.0987,Loss D:  0.2130
Epoch 161, Loss G: -0.3945,Loss D:  0.2270
Epoch 162, Loss G:  0.0170,Loss D: -0.0947
Epoch 163, Loss G: -0.1483,Loss D:  0.1398
Epoch 164, Loss G: -0.0687,Loss D: -0.0742
Epoch 165, Loss G: -0.0237,Loss D: -0.0241
Epoch 166, Loss G: -0.1521,Loss D: -0.2110
Epoch 167, Loss G: -0.1808,Loss D:  0.2302
Epoch 168, Loss G:  0.3989,Loss D:  0.1582
Epoch 169, Loss G:  0.2562,Loss D:  0.6840
Epoch 170, Loss G:  0.9749,Loss D:  0.6610
Epoch 171, Loss G:  0.3683,Loss D:  0.2922
Epoch 172, Loss G:  0.6934,Loss D: -0.6248
Epoch 173, Loss G:  0.6727,Loss D: -0.1766
Epoch 174, Loss G:  0.5531,Loss D: -0.1580
Epoch 175, Loss G:  0.7267,Loss D:  0.0869
Epoch 176, Loss G:  0.6449,Loss D:  0.2662
Epoch 177, Loss G:  0.1657,Loss D:  0.1040
Epoch 178, Loss G:  0.4008,Loss D: -0.0140
Epoch 179, Loss G:  0.5512,Loss D: -0.3832
Epoch 180, Loss G:  0.8220,Loss D: -0.5259
Epoch 181, Loss G:  0.4378,Loss D: -0.4966
Epoch 182, Loss G:  0.7180,Loss D:  0.1195
Epoch 183, Loss G:  0.4886,Loss D: -0.5051
Epoch 184, Loss G:  0.3683,Loss D:  0.2656
Epoch 185, Loss G:  0.8979,Loss D: -0.0436
Epoch 186, Loss G:  0.3391,Loss D:  0.0589
Epoch 187, Loss G:  0.4681,Loss D: -0.1675
Epoch 188, Loss G:  0.6208,Loss D: -0.5027
Epoch 189, Loss G:  0.2694,Loss D:  0.4993
Epoch 190, Loss G:  0.3506,Loss D:  0.1671
Epoch 191, Loss G:  0.7404,Loss D: -0.2458
Epoch 192, Loss G:  0.4362,Loss D:  0.3105
Epoch 193, Loss G:  0.6740,Loss D:  0.6136
Epoch 194, Loss G:  0.6745,Loss D:  1.1350
Epoch 195, Loss G:  0.6473,Loss D:  0.2429
Epoch 196, Loss G:  0.6551,Loss D:  0.5958
Epoch 197, Loss G:  1.0378,Loss D:  0.1247
Epoch 198, Loss G:  0.4939,Loss D:  0.3412
Epoch 199, Loss G:  1.1053,Loss D:  0.3367
Epoch 200, Loss G:  0.6750,Loss D:  0.3656
Epoch 201, Loss G:  0.8849,Loss D:  0.3171
Epoch 202, Loss G:  0.5270,Loss D:  0.2424
Epoch 203, Loss G:  0.6677,Loss D:  0.3049
Epoch 204, Loss G:  0.6902,Loss D: -0.2979
Epoch 205, Loss G:  1.1374,Loss D:  0.2331
Epoch 206, Loss G:  1.0691,Loss D:  0.0283
Epoch 207, Loss G:  1.2739,Loss D:  0.3356
Epoch 208, Loss G:  1.3412,Loss D: -0.0376
Epoch 209, Loss G:  1.4634,Loss D: -0.2549
Epoch 210, Loss G:  1.6740,Loss D:  0.1439
Epoch 211, Loss G:  1.5892,Loss D: -0.0251
Epoch 212, Loss G:  1.4652,Loss D: -0.4874
Epoch 213, Loss G:  1.7481,Loss D:  0.2930
Epoch 214, Loss G:  1.6719,Loss D:  0.0788
Epoch 215, Loss G:  1.3214,Loss D: -0.5702
Epoch 216, Loss G:  1.3547,Loss D:  0.1248
Epoch 217, Loss G:  1.2802,Loss D: -0.1440
Epoch 218, Loss G:  1.1810,Loss D: -0.0083
Epoch 219, Loss G:  0.9275,Loss D: -0.1584
Epoch 220, Loss G:  0.6318,Loss D:  0.4937
Epoch 221, Loss G:  1.2763,Loss D:  0.0123
Epoch 222, Loss G:  1.0566,Loss D:  0.1618
Epoch 223, Loss G:  1.3643,Loss D:  0.1134
Epoch 224, Loss G:  0.9091,Loss D:  0.3595
Epoch 225, Loss G:  0.7651,Loss D:  0.0019
Epoch 226, Loss G:  1.1406,Loss D:  0.1242
Epoch 227, Loss G:  0.8895,Loss D:  0.4208
Epoch 228, Loss G:  0.8232,Loss D:  0.4335
Epoch 229, Loss G:  0.7317,Loss D:  0.0007
Epoch 230, Loss G:  0.7387,Loss D:  0.7541
Epoch 231, Loss G:  0.5901,Loss D:  0.5393
