Epoch 1, Loss G:  1.1275,Loss D:  0.0036
Epoch 2, Loss G:  1.1131,Loss D: -0.1036
Epoch 3, Loss G:  1.1385,Loss D: -0.1631
Epoch 4, Loss G:  1.0165,Loss D: -0.2186
Epoch 5, Loss G:  0.9985,Loss D: -0.2925
Epoch 6, Loss G:  0.9040,Loss D: -0.3586
Epoch 7, Loss G:  0.7963,Loss D: -0.4214
Epoch 8, Loss G:  0.7697,Loss D: -0.4783
Epoch 9, Loss G:  0.5795,Loss D: -0.4155
Epoch 10, Loss G:  0.3967,Loss D: -0.4589
Epoch 11, Loss G:  0.2556,Loss D: -0.1902
Epoch 12, Loss G:  0.0186,Loss D: -0.1737
Epoch 13, Loss G: -0.2602,Loss D: -0.0846
Epoch 14, Loss G: -0.5025,Loss D:  0.0665
Epoch 15, Loss G: -0.6714,Loss D:  0.2012
Epoch 16, Loss G: -0.7493,Loss D:  0.2735
Epoch 17, Loss G: -1.0189,Loss D:  0.2126
Epoch 18, Loss G: -0.9796,Loss D:  0.1282
Epoch 19, Loss G: -1.2067,Loss D:  0.2878
Epoch 20, Loss G: -1.2698,Loss D:  0.2334
Epoch 21, Loss G: -1.2500,Loss D:  0.4203
Epoch 22, Loss G: -1.3201,Loss D:  0.3245
Epoch 23, Loss G: -1.3060,Loss D:  0.2465
Epoch 24, Loss G: -1.3114,Loss D:  0.2825
Epoch 25, Loss G: -1.3705,Loss D:  0.6182
Epoch 26, Loss G: -1.4667,Loss D:  0.5755
Epoch 27, Loss G: -1.3980,Loss D:  0.6000
Epoch 28, Loss G: -1.5322,Loss D:  0.6802
Epoch 29, Loss G: -1.4079,Loss D:  0.5406
Epoch 30, Loss G: -1.3026,Loss D:  0.3672
Epoch 31, Loss G: -1.0621,Loss D:  0.3859
Epoch 32, Loss G: -0.8374,Loss D:  0.3924
Epoch 33, Loss G: -0.8644,Loss D:  0.1785
Epoch 34, Loss G: -0.8164,Loss D: -0.0435
Epoch 35, Loss G: -0.6660,Loss D:  0.0820
Epoch 36, Loss G: -0.4094,Loss D:  0.0102
Epoch 37, Loss G: -0.4713,Loss D: -0.2367
Epoch 38, Loss G: -0.3499,Loss D: -0.3594
Epoch 39, Loss G: -0.5133,Loss D: -0.3863
Epoch 40, Loss G: -0.4203,Loss D: -0.2015
Epoch 41, Loss G: -0.3925,Loss D:  0.0508
Epoch 42, Loss G: -0.6437,Loss D:  0.1634
Epoch 43, Loss G: -0.8063,Loss D:  0.4892
Epoch 44, Loss G: -0.9281,Loss D:  0.6904
Epoch 45, Loss G: -1.2882,Loss D:  0.8648
Epoch 46, Loss G: -1.2752,Loss D:  0.8322
Epoch 47, Loss G: -1.3991,Loss D:  0.9545
Epoch 48, Loss G: -1.3869,Loss D:  0.8517
Epoch 49, Loss G: -1.6423,Loss D:  0.9437
Epoch 50, Loss G: -1.6812,Loss D:  0.9205
Epoch 51, Loss G: -1.4731,Loss D:  0.9152
Epoch 52, Loss G: -1.3181,Loss D:  0.7791
Epoch 53, Loss G: -1.2968,Loss D:  0.5864
Epoch 54, Loss G: -1.0682,Loss D:  0.2682
Epoch 55, Loss G: -0.8305,Loss D:  0.1784
Epoch 56, Loss G: -0.8037,Loss D: -0.0510
Epoch 57, Loss G: -0.4610,Loss D:  0.0143
Epoch 58, Loss G: -0.4411,Loss D: -0.4339
Epoch 59, Loss G: -0.1611,Loss D: -0.3807
Epoch 60, Loss G: -0.0913,Loss D: -0.6055
Epoch 61, Loss G:  0.0116,Loss D: -0.8138
Epoch 62, Loss G: -0.1536,Loss D: -0.4942
Epoch 63, Loss G: -0.0496,Loss D: -0.5235
Epoch 64, Loss G: -0.2761,Loss D: -0.5228
Epoch 65, Loss G: -0.3032,Loss D: -0.4487
Epoch 66, Loss G: -0.6078,Loss D:  0.0606
Epoch 67, Loss G: -0.7455,Loss D:  0.0859
Epoch 68, Loss G: -1.0492,Loss D:  0.0503
Epoch 69, Loss G: -1.2098,Loss D:  0.1414
Epoch 70, Loss G: -1.3533,Loss D:  0.3640
Epoch 71, Loss G: -1.5422,Loss D:  0.5775
Epoch 72, Loss G: -1.5460,Loss D:  0.3452
Epoch 73, Loss G: -1.4318,Loss D:  0.6289
Epoch 74, Loss G: -1.2742,Loss D:  0.2291
Epoch 75, Loss G: -1.2302,Loss D:  0.3858
Epoch 76, Loss G: -1.1336,Loss D: -0.2767
Epoch 77, Loss G: -0.9828,Loss D: -0.2972
Epoch 78, Loss G: -0.9196,Loss D: -0.0829
Epoch 79, Loss G: -0.6472,Loss D: -0.5090
Epoch 80, Loss G: -0.4528,Loss D: -0.5396
Epoch 81, Loss G: -0.3983,Loss D: -0.7359
Epoch 82, Loss G: -0.3388,Loss D: -0.6345
Epoch 83, Loss G: -0.3515,Loss D: -0.9717
Epoch 84, Loss G: -0.3104,Loss D: -0.9041
Epoch 85, Loss G: -0.3965,Loss D: -0.6863
Epoch 86, Loss G: -0.4525,Loss D: -0.4349
Epoch 87, Loss G: -0.7634,Loss D: -0.3782
Epoch 88, Loss G: -0.9565,Loss D: -0.0682
Epoch 89, Loss G: -1.2083,Loss D:  0.3968
Epoch 90, Loss G: -1.2245,Loss D:  0.4470
Epoch 91, Loss G: -1.4658,Loss D:  0.4435
Epoch 92, Loss G: -1.5016,Loss D:  0.6000
Epoch 93, Loss G: -1.4926,Loss D:  0.5730
Epoch 94, Loss G: -1.3420,Loss D:  0.3266
Epoch 95, Loss G: -1.2554,Loss D:  0.0638
Epoch 96, Loss G: -0.8858,Loss D:  0.0075
Epoch 97, Loss G: -0.8513,Loss D: -0.2621
Epoch 98, Loss G: -0.6345,Loss D: -0.6350
Epoch 99, Loss G: -0.1587,Loss D: -0.6599
Epoch 100, Loss G: -0.0082,Loss D: -1.1019
Epoch 101, Loss G: -0.0413,Loss D: -0.9168
Epoch 102, Loss G:  0.0803,Loss D: -0.9768
Epoch 103, Loss G: -0.1050,Loss D: -1.0648
Epoch 104, Loss G: -0.2881,Loss D: -0.8648
Epoch 105, Loss G: -0.4305,Loss D: -0.4053
Epoch 106, Loss G: -0.6087,Loss D: -0.3345
Epoch 107, Loss G: -1.1669,Loss D:  0.1569
Epoch 108, Loss G: -1.5019,Loss D:  0.4732
Epoch 109, Loss G: -1.7662,Loss D:  0.4441
Epoch 110, Loss G: -2.0748,Loss D:  0.5802
Epoch 111, Loss G: -1.9289,Loss D:  0.2177
Epoch 112, Loss G: -1.9705,Loss D: -0.0024
Epoch 113, Loss G: -1.8054,Loss D:  0.1057
Epoch 114, Loss G: -1.9029,Loss D: -0.1902
Epoch 115, Loss G: -1.5966,Loss D: -0.3354
Epoch 116, Loss G: -1.0806,Loss D: -0.8545
Epoch 117, Loss G: -1.3840,Loss D: -0.6823
Epoch 118, Loss G: -1.3100,Loss D: -0.4103
Epoch 119, Loss G: -1.3976,Loss D: -0.2952
Epoch 120, Loss G: -1.6922,Loss D:  0.1174
Epoch 121, Loss G: -2.3482,Loss D: -0.1275
Epoch 122, Loss G: -2.7202,Loss D:  0.2572
Epoch 123, Loss G: -2.9003,Loss D:  0.0380
Epoch 124, Loss G: -2.7447,Loss D:  0.3294
Epoch 125, Loss G: -2.7630,Loss D: -0.0810
Epoch 126, Loss G: -2.7893,Loss D: -0.0133
Epoch 127, Loss G: -2.6614,Loss D: -0.4002
Epoch 128, Loss G: -2.8913,Loss D: -0.2066
Epoch 129, Loss G: -3.0922,Loss D: -0.2861
Epoch 130, Loss G: -3.2249,Loss D: -0.0412
Epoch 131, Loss G: -3.6148,Loss D:  0.2529
Epoch 132, Loss G: -3.2664,Loss D: -0.0460
Epoch 133, Loss G: -3.4519,Loss D:  0.4258
Epoch 134, Loss G: -3.5697,Loss D:  0.2335
Epoch 135, Loss G: -3.6801,Loss D:  0.0230
