Epoch 1, Loss G: -0.0548,Loss D: -0.0102
Epoch 2, Loss G: -0.0086,Loss D: -0.1519
Epoch 3, Loss G: -0.0058,Loss D: -0.2967
Epoch 4, Loss G:  0.0290,Loss D: -0.4239
Epoch 5, Loss G:  0.0553,Loss D: -0.6831
Epoch 6, Loss G:  0.1113,Loss D: -0.8441
Epoch 7, Loss G:  0.1021,Loss D: -1.0885
Epoch 8, Loss G:  0.1260,Loss D: -1.3877
Epoch 9, Loss G:  0.0281,Loss D: -1.6155
Epoch 10, Loss G: -0.0681,Loss D: -1.7653
Epoch 11, Loss G: -0.1345,Loss D: -2.0205
Epoch 12, Loss G: -0.2104,Loss D: -2.1647
Epoch 13, Loss G: -0.4022,Loss D: -2.5679
Epoch 14, Loss G: -0.2966,Loss D: -2.6739
Epoch 15, Loss G: -0.4429,Loss D: -2.9041
Epoch 16, Loss G: -0.4301,Loss D: -3.1334
Epoch 17, Loss G: -0.5359,Loss D: -3.3147
Epoch 18, Loss G: -0.7946,Loss D: -3.3082
Epoch 19, Loss G: -0.8014,Loss D: -3.0632
Epoch 20, Loss G: -0.9513,Loss D: -3.1063
Epoch 21, Loss G: -1.0360,Loss D: -2.7107
Epoch 22, Loss G: -1.3122,Loss D: -2.4204
Epoch 23, Loss G: -1.4952,Loss D: -2.2180
Epoch 24, Loss G: -1.5585,Loss D: -2.1169
Epoch 25, Loss G: -1.8181,Loss D: -1.9383
Epoch 26, Loss G: -1.7821,Loss D: -1.4251
Epoch 27, Loss G: -2.0715,Loss D: -1.3067
Epoch 28, Loss G: -2.2410,Loss D: -0.8495
Epoch 29, Loss G: -2.2728,Loss D: -0.6905
Epoch 30, Loss G: -2.5433,Loss D: -0.7807
Epoch 31, Loss G: -2.7942,Loss D: -0.6879
Epoch 32, Loss G: -2.5976,Loss D: -0.4963
Epoch 33, Loss G: -2.8301,Loss D: -0.0681
Epoch 34, Loss G: -2.8642,Loss D: -0.0196
Epoch 35, Loss G: -3.0144,Loss D: -0.3145
Epoch 36, Loss G: -2.9477,Loss D:  0.1723
Epoch 37, Loss G: -3.1908,Loss D:  0.2434
Epoch 38, Loss G: -2.8708,Loss D:  0.2809
Epoch 39, Loss G: -2.9866,Loss D:  0.2761
Epoch 40, Loss G: -2.7196,Loss D: -0.0088
Epoch 41, Loss G: -2.8191,Loss D:  0.3479
Epoch 42, Loss G: -2.7039,Loss D:  0.1039
Epoch 43, Loss G: -2.5297,Loss D:  0.1452
Epoch 44, Loss G: -2.4747,Loss D: -0.1691
Epoch 45, Loss G: -2.1872,Loss D: -0.1618
Epoch 46, Loss G: -2.3236,Loss D: -0.0696
Epoch 47, Loss G: -1.9196,Loss D:  0.0713
Epoch 48, Loss G: -2.0063,Loss D: -0.2564
Epoch 49, Loss G: -1.9896,Loss D: -0.3192
Epoch 50, Loss G: -1.8659,Loss D: -0.3367
Epoch 51, Loss G: -2.1445,Loss D: -0.2479
Epoch 52, Loss G: -1.9647,Loss D: -0.3219
Epoch 53, Loss G: -2.0138,Loss D: -0.5064
Epoch 54, Loss G: -1.7600,Loss D: -0.2047
Epoch 55, Loss G: -1.7971,Loss D: -0.4262
Epoch 56, Loss G: -1.8569,Loss D: -0.1998
Epoch 57, Loss G: -1.6852,Loss D:  0.0333
Epoch 58, Loss G: -1.9560,Loss D:  0.0312
Epoch 59, Loss G: -2.0360,Loss D:  0.0963
Epoch 60, Loss G: -2.0738,Loss D:  0.1351
Epoch 61, Loss G: -2.1443,Loss D:  0.4897
Epoch 62, Loss G: -2.2863,Loss D:  0.1747
Epoch 63, Loss G: -2.1964,Loss D:  0.4976
Epoch 64, Loss G: -2.1662,Loss D:  0.6026
Epoch 65, Loss G: -2.1868,Loss D:  0.2915
Epoch 66, Loss G: -2.3424,Loss D:  0.4305
Epoch 67, Loss G: -2.5076,Loss D:  0.3954
Epoch 68, Loss G: -2.3504,Loss D:  0.4979
Epoch 69, Loss G: -2.0903,Loss D: -0.0053
Epoch 70, Loss G: -2.0008,Loss D: -0.0659
Epoch 71, Loss G: -2.2748,Loss D:  0.2191
Epoch 72, Loss G: -1.8680,Loss D:  0.1806
Epoch 73, Loss G: -1.8142,Loss D:  0.3941
Epoch 74, Loss G: -1.7146,Loss D: -0.3533
Epoch 75, Loss G: -1.4162,Loss D: -0.4787
Epoch 76, Loss G: -1.7271,Loss D: -0.2327
Epoch 77, Loss G: -1.5903,Loss D: -0.3452
Epoch 78, Loss G: -1.6282,Loss D: -0.2958
Epoch 79, Loss G: -1.5520,Loss D: -0.5698
Epoch 80, Loss G: -1.3578,Loss D: -0.0730
Epoch 81, Loss G: -1.5183,Loss D: -0.2582
Epoch 82, Loss G: -1.6634,Loss D: -0.3315
Epoch 83, Loss G: -1.7630,Loss D:  0.0203
Epoch 84, Loss G: -1.8541,Loss D:  0.1690
Epoch 85, Loss G: -2.0174,Loss D:  0.3574
Epoch 86, Loss G: -2.1928,Loss D:  0.2192
Epoch 87, Loss G: -2.3942,Loss D:  0.3421
Epoch 88, Loss G: -2.8200,Loss D:  0.4540
Epoch 89, Loss G: -2.8166,Loss D:  0.7263
Epoch 90, Loss G: -3.3259,Loss D:  0.6621
Epoch 91, Loss G: -3.3285,Loss D:  0.8001
Epoch 92, Loss G: -3.1564,Loss D:  0.7249
