Epoch 1, Loss G:  1.1777,Loss D:  0.0195
Epoch 2, Loss G:  1.1742,Loss D: -0.1142
Epoch 3, Loss G:  1.2501,Loss D: -0.2289
Epoch 4, Loss G:  1.2265,Loss D: -0.3940
Epoch 5, Loss G:  1.2824,Loss D: -0.6033
Epoch 6, Loss G:  1.3343,Loss D: -0.7151
Epoch 7, Loss G:  1.3936,Loss D: -0.9464
Epoch 8, Loss G:  1.3571,Loss D: -1.1278
Epoch 9, Loss G:  1.3723,Loss D: -1.3152
Epoch 10, Loss G:  1.4910,Loss D: -1.4482
Epoch 11, Loss G:  1.5998,Loss D: -1.7287
Epoch 12, Loss G:  1.5378,Loss D: -1.9014
Epoch 13, Loss G:  1.6736,Loss D: -2.2012
Epoch 14, Loss G:  1.5701,Loss D: -2.3874
Epoch 15, Loss G:  1.7191,Loss D: -2.5497
Epoch 16, Loss G:  1.8216,Loss D: -2.6465
Epoch 17, Loss G:  1.6491,Loss D: -2.7961
Epoch 18, Loss G:  1.4715,Loss D: -2.6733
Epoch 19, Loss G:  1.4382,Loss D: -2.5513
Epoch 20, Loss G:  1.2368,Loss D: -2.3744
Epoch 21, Loss G:  1.1792,Loss D: -2.4085
Epoch 22, Loss G:  0.9978,Loss D: -2.2087
Epoch 23, Loss G:  0.7329,Loss D: -1.6497
Epoch 24, Loss G:  0.7174,Loss D: -1.7319
Epoch 25, Loss G:  0.4573,Loss D: -1.4613
Epoch 26, Loss G:  0.5217,Loss D: -1.2915
Epoch 27, Loss G:  0.1302,Loss D: -0.9552
Epoch 28, Loss G:  0.1348,Loss D: -1.0996
Epoch 29, Loss G:  0.0616,Loss D: -0.7918
Epoch 30, Loss G: -0.0633,Loss D: -0.5092
Epoch 31, Loss G: -0.0885,Loss D: -0.5476
Epoch 32, Loss G: -0.1859,Loss D: -0.4255
Epoch 33, Loss G: -0.3253,Loss D: -0.4055
Epoch 34, Loss G: -0.2709,Loss D: -0.1021
Epoch 35, Loss G: -0.1943,Loss D: -0.1045
Epoch 36, Loss G: -0.2669,Loss D:  0.0062
Epoch 37, Loss G: -0.1061,Loss D:  0.0007
Epoch 38, Loss G: -0.2386,Loss D: -0.2546
Epoch 39, Loss G: -0.1644,Loss D:  0.0387
Epoch 40, Loss G: -0.1465,Loss D:  0.1609
Epoch 41, Loss G: -0.0619,Loss D: -0.0049
Epoch 42, Loss G: -0.0673,Loss D:  0.0411
Epoch 43, Loss G:  0.0604,Loss D:  0.1049
Epoch 44, Loss G:  0.1116,Loss D:  0.0372
Epoch 45, Loss G:  0.2334,Loss D:  0.0765
Epoch 46, Loss G:  0.3439,Loss D:  0.2240
Epoch 47, Loss G:  0.1301,Loss D: -0.0543
Epoch 48, Loss G:  0.3984,Loss D: -0.0267
Epoch 49, Loss G:  0.1282,Loss D:  0.0556
Epoch 50, Loss G:  0.4084,Loss D:  0.1489
Epoch 51, Loss G:  0.1522,Loss D:  0.0491
Epoch 52, Loss G:  0.2879,Loss D:  0.3373
Epoch 53, Loss G:  0.3176,Loss D:  0.0664
Epoch 54, Loss G:  0.4904,Loss D:  0.1160
Epoch 55, Loss G:  0.2273,Loss D:  0.1430
Epoch 56, Loss G:  0.5718,Loss D:  0.2465
Epoch 57, Loss G:  0.6185,Loss D:  0.0140
Epoch 58, Loss G:  0.4613,Loss D: -0.0215
Epoch 59, Loss G:  0.2990,Loss D:  0.1083
Epoch 60, Loss G:  0.3302,Loss D: -0.0844
Epoch 61, Loss G:  0.4874,Loss D:  0.1282
Epoch 62, Loss G:  0.3888,Loss D:  0.0973
Epoch 63, Loss G:  0.4167,Loss D:  0.0292
Epoch 64, Loss G:  0.2613,Loss D:  0.3132
Epoch 65, Loss G:  0.3767,Loss D:  0.2702
Epoch 66, Loss G:  0.2910,Loss D:  0.0021
Epoch 67, Loss G:  0.2016,Loss D: -0.1072
Epoch 68, Loss G:  0.4623,Loss D:  0.0759
Epoch 69, Loss G:  0.3567,Loss D:  0.2666
Epoch 70, Loss G:  0.5457,Loss D:  0.1945
Epoch 71, Loss G:  0.3669,Loss D: -0.0253
Epoch 72, Loss G:  0.5887,Loss D: -0.1885
Epoch 73, Loss G:  0.4179,Loss D:  0.0179
Epoch 74, Loss G:  0.6514,Loss D:  0.0507
Epoch 75, Loss G:  0.3391,Loss D: -0.0742
Epoch 76, Loss G:  0.4044,Loss D: -0.0332
Epoch 77, Loss G:  0.5405,Loss D:  0.0960
Epoch 78, Loss G:  0.5015,Loss D: -0.1704
Epoch 79, Loss G:  0.4743,Loss D: -0.0089
Epoch 80, Loss G:  0.3311,Loss D:  0.0999
