Epoch 1, Loss G:  1.4470,Loss D:  0.0007
Epoch 2, Loss G:  1.3523,Loss D: -0.0885
Epoch 3, Loss G:  1.4519,Loss D: -0.2147
Epoch 4, Loss G:  1.5151,Loss D: -0.3551
Epoch 5, Loss G:  1.5490,Loss D: -0.5252
Epoch 6, Loss G:  1.5725,Loss D: -0.6266
Epoch 7, Loss G:  1.6863,Loss D: -0.8354
Epoch 8, Loss G:  1.6372,Loss D: -0.9680
Epoch 9, Loss G:  1.6830,Loss D: -1.1738
Epoch 10, Loss G:  1.7384,Loss D: -1.3793
Epoch 11, Loss G:  1.7192,Loss D: -1.5999
Epoch 12, Loss G:  1.6990,Loss D: -1.7519
Epoch 13, Loss G:  1.7188,Loss D: -1.9184
Epoch 14, Loss G:  1.9047,Loss D: -2.0785
Epoch 15, Loss G:  1.8809,Loss D: -2.1843
Epoch 16, Loss G:  1.9178,Loss D: -2.2245
Epoch 17, Loss G:  1.7686,Loss D: -2.3839
Epoch 18, Loss G:  1.6779,Loss D: -2.2740
Epoch 19, Loss G:  1.6504,Loss D: -2.2408
Epoch 20, Loss G:  1.6909,Loss D: -2.0044
Epoch 21, Loss G:  1.4693,Loss D: -1.9282
Epoch 22, Loss G:  1.3926,Loss D: -1.7718
Epoch 23, Loss G:  1.3875,Loss D: -1.6647
Epoch 24, Loss G:  0.9729,Loss D: -1.2352
Epoch 25, Loss G:  1.0824,Loss D: -1.2645
Epoch 26, Loss G:  0.9726,Loss D: -1.1565
Epoch 27, Loss G:  0.8922,Loss D: -1.0907
Epoch 28, Loss G:  0.6783,Loss D: -0.9784
Epoch 29, Loss G:  0.4709,Loss D: -0.9408
Epoch 30, Loss G:  0.4872,Loss D: -0.5280
Epoch 31, Loss G:  0.3146,Loss D: -0.5831
Epoch 32, Loss G:  0.3415,Loss D: -0.5348
Epoch 33, Loss G:  0.2380,Loss D: -0.2273
Epoch 34, Loss G:  0.2990,Loss D: -0.3047
Epoch 35, Loss G:  0.1860,Loss D: -0.4334
Epoch 36, Loss G:  0.2315,Loss D: -0.2412
Epoch 37, Loss G:  0.0879,Loss D: -0.1546
Epoch 38, Loss G:  0.2563,Loss D: -0.2508
Epoch 39, Loss G:  0.2667,Loss D: -0.1307
Epoch 40, Loss G:  0.1002,Loss D: -0.2115
Epoch 41, Loss G:  0.2468,Loss D: -0.1654
Epoch 42, Loss G:  0.3387,Loss D:  0.0614
Epoch 43, Loss G:  0.3206,Loss D: -0.2941
Epoch 44, Loss G:  0.2652,Loss D: -0.1051
Epoch 45, Loss G:  0.5277,Loss D: -0.2253
Epoch 46, Loss G:  0.5704,Loss D: -0.0863
Epoch 47, Loss G:  0.5934,Loss D: -0.5208
Epoch 48, Loss G:  0.7370,Loss D: -0.2530
Epoch 49, Loss G:  0.8180,Loss D: -0.1350
Epoch 50, Loss G:  0.8172,Loss D: -0.1880
Epoch 51, Loss G:  0.8131,Loss D: -0.2344
Epoch 52, Loss G:  0.5225,Loss D: -0.0036
Epoch 53, Loss G:  0.5753,Loss D:  0.0515
Epoch 54, Loss G:  0.5276,Loss D: -0.2371
Epoch 55, Loss G:  0.5064,Loss D:  0.0387
Epoch 56, Loss G:  0.6002,Loss D: -0.2842
Epoch 57, Loss G:  0.6136,Loss D:  0.1063
Epoch 58, Loss G:  0.4464,Loss D:  0.0016
Epoch 59, Loss G:  0.5739,Loss D:  0.1914
Epoch 60, Loss G:  0.3967,Loss D:  0.1647
Epoch 61, Loss G:  0.3485,Loss D: -0.0383
Epoch 62, Loss G:  0.3128,Loss D: -0.0930
Epoch 63, Loss G:  0.4860,Loss D:  0.2305
Epoch 64, Loss G:  0.4348,Loss D: -0.0214
Epoch 65, Loss G:  0.2366,Loss D: -0.0622
Epoch 66, Loss G:  0.0557,Loss D:  0.4178
Epoch 67, Loss G:  0.3073,Loss D:  0.0053
Epoch 68, Loss G:  0.2218,Loss D:  0.3008
Epoch 69, Loss G:  0.1232,Loss D:  0.3651
Epoch 70, Loss G:  0.0534,Loss D:  0.3765
Epoch 71, Loss G:  0.0695,Loss D:  0.2711
Epoch 72, Loss G: -0.0573,Loss D:  0.2307
Epoch 73, Loss G: -0.1726,Loss D:  0.3955
Epoch 74, Loss G: -0.3295,Loss D: -0.1250
Epoch 75, Loss G: -0.3405,Loss D:  0.2471
Epoch 76, Loss G: -0.5535,Loss D: -0.1134
