Epoch 1, Loss G:  1.1011,Loss D: -0.0335
Epoch 2, Loss G:  1.1709,Loss D: -0.0969
Epoch 3, Loss G:  1.1710,Loss D: -0.2209
Epoch 4, Loss G:  1.2193,Loss D: -0.3125
Epoch 5, Loss G:  1.2078,Loss D: -0.3874
Epoch 6, Loss G:  1.2397,Loss D: -0.5034
Epoch 7, Loss G:  1.1872,Loss D: -0.6205
Epoch 8, Loss G:  1.2181,Loss D: -0.8096
Epoch 9, Loss G:  1.0969,Loss D: -0.9154
Epoch 10, Loss G:  1.0435,Loss D: -0.9501
Epoch 11, Loss G:  0.9251,Loss D: -1.0405
Epoch 12, Loss G:  0.9159,Loss D: -1.0591
Epoch 13, Loss G:  0.8587,Loss D: -1.0142
Epoch 14, Loss G:  0.6628,Loss D: -1.2440
Epoch 15, Loss G:  0.6543,Loss D: -1.3347
Epoch 16, Loss G:  0.4573,Loss D: -1.2063
Epoch 17, Loss G:  0.4569,Loss D: -0.9849
Epoch 18, Loss G:  0.5789,Loss D: -1.4315
Epoch 19, Loss G:  0.5080,Loss D: -1.3221
Epoch 20, Loss G:  0.3677,Loss D: -0.9006
Epoch 21, Loss G:  0.3618,Loss D: -0.9975
Epoch 22, Loss G:  0.3938,Loss D: -0.6991
Epoch 23, Loss G:  0.4732,Loss D: -0.7741
Epoch 24, Loss G:  0.3229,Loss D: -0.7079
Epoch 25, Loss G:  0.1917,Loss D: -0.5497
Epoch 26, Loss G: -0.0297,Loss D: -0.4030
Epoch 27, Loss G: -0.0734,Loss D: -0.2868
Epoch 28, Loss G: -0.1315,Loss D: -0.2042
Epoch 29, Loss G: -0.1945,Loss D: -0.1853
Epoch 30, Loss G: -0.2596,Loss D:  0.0439
Epoch 31, Loss G: -0.3292,Loss D:  0.3208
Epoch 32, Loss G: -0.1258,Loss D:  0.0143
Epoch 33, Loss G: -0.2657,Loss D:  0.2796
Epoch 34, Loss G: -0.2217,Loss D:  0.2616
Epoch 35, Loss G:  0.0318,Loss D:  0.1136
Epoch 36, Loss G:  0.0539,Loss D:  0.1994
Epoch 37, Loss G:  0.2593,Loss D:  0.0279
Epoch 38, Loss G:  0.2413,Loss D: -0.0034
Epoch 39, Loss G:  0.2543,Loss D: -0.0482
Epoch 40, Loss G:  0.4478,Loss D: -0.2789
Epoch 41, Loss G:  0.7843,Loss D: -0.3767
Epoch 42, Loss G:  0.7841,Loss D: -0.3658
Epoch 43, Loss G:  0.6845,Loss D: -0.2856
Epoch 44, Loss G:  0.8403,Loss D: -0.3092
Epoch 45, Loss G:  0.8580,Loss D: -0.3238
Epoch 46, Loss G:  0.9555,Loss D: -0.2520
